Code HS6,Label HS6
020120,"Morceaux non-désossés, de bovins, frais ou réfrigérés (à l'excl. des carcasses et des demi-carcasses)"
020130,"Viandes désossées de bovins, fraîches ou réfrigérées"
0202,"Viandes des animaux de l'espèce bovine, congelées"
020210,"Carcasses ou demi-carcasses, de bovins, congelées"
020220,"Morceaux non-désossés, de bovins, congelés (à l'excl. des carcasses et des demi-carcasses)"
020230,"Viandes désossées de bovins, congelées"
0203,"Viandes des animaux de l'espèce porcine, fraîches, réfrigérées ou congelées"
020311,"Carcasses ou demi-carcasses, de porcins, fraîches ou réfrigérées"
020312,"Jambons, épaules et leurs morceaux, non-désossés, de porcins, frais ou réfrigérés"
020319,"Viandes des animaux de l'espèce porcine, fraîches ou réfrigérées (à l'excl. des carcasses et demi-carcasses ainsi que des jambons, épaules et leurs morceaux, non-désossés)"
020321,"Carcasses ou demi-carcasses, de porcins, congelées"
020322,"Jambons, épaules et leurs morceaux, non-désossés, de porcins, congelés"
020329,"Viandes des animaux de l'espèce porcine, congelées (à l'excl. des carcasses ou demi-carcasses et des jambons, épaules et leurs morceaux, non-désossés)"
0204,"Viandes des animaux des espèces ovine ou caprine, fraîches, réfrigérées ou congelées"
020410,"Carcasses ou demi-carcasses, d'agneaux, fraîches ou réfrigérées"
020421,"Carcasses ou demi-carcasses, d'ovins, fraîches ou réfrigérées (à l'excl. des carcasses ou demi-carcasses d'agneaux)"
020422,"Morceaux non-désossés, d'ovins, frais ou réfrigérés (à l'excl. des carcasses ou demi-carcasses)"
020423,"Viandes désossées, d'ovins, fraîches ou réfrigérées"
020430,"Carcasses ou demi-carcasses, d'agneaux, congelées"
020441,"Carcasses ou demi-carcasses, d'ovins (à l'excl. des carcasses ou demi-carcasses d'agneaux), congelées"
020442,"Morceaux non-désossés, d'ovins, congelés (à l'excl. des carcasses ou demi-carcasses)"
020443,"Viandes désossées, d'ovins, congelées"
020450,"Viandes des animaux de l'espèce caprine, fraîches, réfrigérées ou congelées"
0205,"Viandes des animaux des espèces chevaline, asine ou mulassière, fraîches, réfrigérées ou congelées"
0206,"Abats comestibles des animaux des espèces bovine, porcine, ovine, caprine, chevaline, asine ou mulassière, frais, réfrigérés ou congelés"
020610,"Abats comestibles de bovins, frais ou réfrigérés"
020621,"Langues de bovins, comestibles, congelées"
020622,"Foies de bovins, comestibles, congelés"
020629,"Abats comestibles de bovins, congelés (à l'excl. des langues et des foies)"
020630,"Abats comestibles de porcins, frais ou réfrigérés"
020641,"Foies de porcins, comestibles, congelés"
020649,"Abats comestibles de porcins, congelés (à l'excl. des foies)"
020680,"Abats comestibles des animaux des espèces ovine, caprine, chevaline, asine ou mulassière, frais ou réfrigérés"
020690,"Abats comestibles des animaux des espèces ovine, caprine, chevaline, asine ou mulassière, congelés"
0207,"Viandes et abats comestibles, frais, réfrigérés ou congelés, de coqs, poules, canards, oies, dindons, dindes et pintades [des espèces domestiques]"
020711,"Coqs et poules [des espèces domestiques], non-découpés en morceaux, frais ou réfrigérés"
020712,"Coqs et poules [des espèces domestiques], non-découpés en morceaux, congelés"
020713,"Morceaux et abats comestibles de coqs et de poules [des espèces domestiques], frais ou réfrigérés"
020714,"Morceaux et abats comestibles de coqs et de poules [des espèces domestiques], congelés"
020724,"Dindes et dindons [des espèces domestiques], non-découpées en morceaux, frais ou réfrigérés"
020725,"Dindes et dindons [des espèces domestiques], non-découpés en morceaux, congelés"
020726,"Morceaux et abats comestibles de dindes et dindons [des espèces domestiques], frais ou réfrigérés"
020727,"Morceaux et abats comestibles de dindes et dindons [des espèces domestiques], congelés"
020741,"Canards domestiques, non découpés en morceaux, frais ou réfrigérés"
020742,"Canards domestiques, non découpés en morceaux, congelés"
020743,"Foies gras de canards domestiques, frais ou réfrigérés"
020744,"Morceaux et abats comestibles de canards domestiques, frais ou réfrigérés (à l'excl. des foies gras)"
020745,"Morceaux et abats comestibles de canards domestiques, congelés"
020751,"Oies domestiques, non découpées en morceaux, fraîches ou réfrigérées"
020752,"Oies domestiques, non découpées en morceaux, congelées"
020753,"Foies gras d’oies domestiques, frais ou réfrigérés"
020754,"Morceaux et abats comestibles d'oies domestiques, frais ou réfrigérés (à l'excl. des foies gras)"
020755,"Morceaux et abats comestibles d'oies domestiques, congelés"
020760,"Viandes et abats comestibles de pintades, frais, réfrigérés ou congelés"
0208,"Viandes et abats comestibles frais, réfrigérés ou congelés de lapin, de lièvre, de pigeon et d'autres espèces animales (à l'excl. des viandes et abats d'animaux des espèces bovine, porcine, ovine, caprine, chevaline, asine ou mulassière, ainsi que des viandes et abats de coq, de poule, de canard, d'oie, de dindon, de dinde et de pintade des espèces domestiques)"
020810,"Viandes et abats comestibles de lapins ou de lièvres, frais, réfrigérés ou congelés"
020830,"Viandes et abats comestibles de primates, frais, réfrigérés ou congelés"
020840,"Viandes et abats comestibles de baleines, dauphins et marsouins (mammifères de l'ordre des cétacés), de lamantins et dugongs (mammifères de l'ordre des siréniens), d'otaries et phoques, lions de mer et morses (mammifères du sous-ordre des pinnipèdes), frais, réfrigérés ou congelés"
020850,"Viandes et abats comestibles de reptiles [p.ex. serpents, tortues, crocodiles], frais, réfrigérés ou congelés"
020860,"Viandes et abats comestibles de chameaux et d'autres camélidés (Camélidés), frais, réfrigérés ou congelés"
020890,"Viandes et abats comestibles de pigeons, gibier, rennes et autres espèces animales, frais, réfrigérés ou congelés [à l’exclusion des viandes et abats d’animaux des espèces bovine, porcine, ovine, caprine, chevaline, asine ou mulassière, des viandes et abats de volailles (volailles de l’espèce Gallus domesticus, canards, oies, dindes et dindons, pintades), des viandes et abats de lapins et lièvres, de primates, de baleines, dauphins et marsouins (mammifères de l’ordre des cétacés), de lamantins et dugongs (mammifères de l’ordre des siréniens), d’otaries et phoques, lions de mer et morses (mammifères du sous-ordre des pinnipèdes), de reptiles, ainsi que des insectes]"
0209,"Lard sans parties maigres, graisse de porc et graisse de volailles non-fondues ni autrement extraites, frais, réfrigérés, congelés, salés ou en saumure, séchés ou fumés"
020910,"Lard de porc sans parties maigres, graisse de porc non fondue ni autrement extraite, frais, réfrigérés, congelés, salés ou en saumure, séchés ou fumés"
020990,"Graisse de volailles non fondue ni autrement extraite, fraîche, réfrigérée, congelée, salée ou en saumure, séchée ou fumée"
0210,"Viandes et abats comestibles, salés ou en saumure, séchés ou fumés; farines et poudres, comestibles, de viandes ou d'abats"
021011,"Jambons, épaules et leurs morceaux, non-désossés, de porcins, salés ou en saumure, séchés ou fumés"
021012,"Poitrines [entrelardés] et morceaux de poitrines, de porcins, salés ou en saumure, séchés ou fumés"
021019,"Viandes de porcins, salées ou en saumure, séchées ou fumées (à l'excl. des jambons, épaules et leurs morceaux, non-désossés, ainsi que des poitrines [entrelardés] et leurs morceaux)"
021020,"Viandes de bovins, salées ou en saumure, séchées ou fumées"
021091,"Viandes et abats comestibles, salés ou en saumure, séchés ou fumés; farines et poudres, comestibles, de viandes et d'abats, de primates"
021092,"Viandes et abats comestibles de baleines, dauphins et marsouins (mammifères de l'ordre des cétacés), de lamantins et dugongs (mammifères de l'ordre des siréniens), d'otaries et phoques, lions de mer et morses (mammifères du sous-ordre des pinnipèdes), salés ou en saumure, séchés ou fumés, y.c. les farines et poudres, comestibles, de viandes ou d'abats"
021093,"Viandes et abats comestibles, salés ou en saumure, séchés ou fumés; farines et poudres, comestibles, de viandes et d'abats, de reptiles [p.ex. serpents, tortues, alligators]"
021099,"Viandes et abats comestibles, salés ou en saumure, séchés ou fumés et farines et poudres comestibles de viandes ou d’abats [à l’exclusion des viandes des espèces porcine et bovine, des viandes et abats comestibles de primates, de baleines, dauphins et marsouins (mammifères de l’ordre des cétacés), de lamantins et dugongs (mammifères de l’ordre des siréniens), d’otaries et phoques, lions de mer et morses (mammifères du sous-ordre des pinnipèdes), de reptiles, ainsi que des insectes]"
0301,Poissons vivants
030111,"Poissons d'ornement d'eau douce, vivants"
030119,"Poissons d'ornement, vivants (à l'excl. des poissons d'eau douce)"
030191,"Truites [Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache et Oncorhynchus chrysogaster], vivantes"
030192,"Anguilles 'Anguilla spp.', vivantes"
030193,"Carpes «Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.», vivantes"
030194,"Thons rouges de l'Atlantique et du Pacifique (Thunnus thynnus, Thunnus orientalis), vivants"
030195,"Thons rouges du sud 'Thunnus maccoyii', vivants"
030199,"Poissons, vivants [hors poissons d’ornement, truites (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache et Oncorhynchus chrysogaster), anguilles (Anguilla spp.), carpes (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), thons rouges de l’Atlantique et du Pacifique (Thunnus thynnus, Thunnus orientalis) et thons rouges du Sud (Thunnus maccoyii)]"
0302,"Poissons, comestibles, frais ou réfrigérés (à l'excl. des filets de poissons et autres chairs de poissons du n° 0304)"
030211,"Truites [Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache et Oncorhynchus chrysogaster], fraîches ou réfrigérées"
030213,"Saumons du Pacifique [Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou et Oncorhynchus rhodurus], frais ou réfrigérés"
030214,"Saumons de l'Atlantique [Salmo salar] et saumons du Danube [Hucho hucho], frais ou réfrigérés"
030219,"Salmonidés, frais ou réfrigérés (à l'excl. des truites et des saumons du Pacifique, de l'Atlantique et du Danube)"
030221,"Flétans [Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis], frais ou réfrigérés"
030222,"Plies ou carrelets [Pleuronectes platessa], frais ou réfrigérés"
030223,"Soles [Solea spp.], fraîches ou réfrigérées"
030224,"Turbots [Psetta maxima], frais ou réfrigérés"
030229,"Poissons plats [pleuronectidés, bothidés, cynoglossidés, soléidés, scophthalmidés et citharidés], frais ou réfrigérés (à l’excl. des flétans [Reinhardtius hippoglossoides, Hippoglossus hippoglossus et Hippoglossus stenolepis], des plies ou carrelets [Pleuronectes platessa], des soles [Solea spp.] et des turbots [Psetta maxima])"
030231,"Thons blancs ou germons [Thunnus alalunga], frais ou réfrigérés"
030232,"Thons à nageoires jaunes [Thunnus albacares], frais ou réfrigérés"
030233,"Listaos ou bonites à ventre rayé [Euthynnus -Katsuwonus- Pelamis], frais ou réfrigérés"
030234,"Thons obèses [Thunnus obesus], frais ou réfrigérés"
030235,"Thons rouges de l'Atlantique et du Pacifique (Thunnus thynnus, Thunnus orientalis), frais ou réfrigérés"
030236,"Thons rouges du sud [Thunnus maccoyii], frais ou réfrigérés"
030239,"Thons du genre [Thunnus], frais ou réfrigérés (à l'excl. des espèces [Thunnus alalunga, Thunnus albacares, Thunnus obesus, Thunnus thynnus, Thunnus orientalis et Thunnus maccoyii])"
030241,"Harengs [Clupea harengus, Clupea pallasii], frais ou réfrigérés"
030242,"Anchois [Engraulis spp.], frais ou réfrigérés"
030243,"Sardines [Sardina pilchardus, Sardinops spp.], sardinelles [Sardinella spp.], sprats ou esprots [Sprattus sprattus], frais ou réfrigérés"
030244,"Maquereaux [Scomber scombrus, Scomber australasicus, Scomber japonicus], frais ou réfrigérés"
030245,"Chinchards [Trachurus spp.], frais ou réfrigérés"
030246,"Mafous [Rachycentron canadum], frais ou réfrigérés"
030247,"Espadons [Xiphias gladius], frais ou réfrigérés"
030249,"Maquereaux indo-pacifiques «Rastrelliger spp.», thazards «Scomberomorus spp.», carangues «Caranx spp.», castagnoles argentées «Pampus spp.», balaous du Pacifique «Cololabis saira», comètes «Decapterus spp.», capelans «Mallotus villosus», thonines orientales «Euthynnus affinis», bonites «Sarda spp.», makaires, marlins et voiliers «Istiophoridae», frais ou réfrigérés"
030251,"Morues [Gadus morhua, Gadus ogac, Gadus macrocephalus], fraîches ou réfrigérées"
030252,"Églefins [Melanogrammus aeglefinus], frais ou réfrigérés"
030253,"Lieus noirs [Pollachius virens], frais ou réfrigérés"
030254,"Merlus [Merluccius spp., Urophycis spp.], frais ou réfrigérés"
030255,"Lieus d'Alaska [Theragra chalcogramma], frais ou réfrigérés"
030256,"Merlans bleus [Micromesistius poutassou, Micromesistius australis], frais ou réfrigérés"
030259,"Poissons des familles Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae et Muraenolepididae (à l'excl. des morues, églefins, lieus noirs, merlus, lieus d'Alaska et merlans bleus), frais ou réfrigérés"
030271,"Tilapias [Oreochromis spp.], frais ou réfrigérés"
030272,"Siluridés [Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.], frais ou réfrigérés"
030273,"Carpes «Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.», fraîches ou réfrigérées"
030274,"Anguilles [Anguilla spp.], fraîches ou réfrigérées"
030279,"Perches du Nil [Lates niloticus] et poissons tête de serpent [Channa spp.], frais ou réfrigérés"
030281,"Squales, frais ou réfrigérés"
030282,"Raies [Rajidae], fraîches ou réfrigérées"
030283,"Légines [Dissostichus spp.], fraîches ou réfrigérées"
030284,"Bars [Dicentrarchus spp.], frais ou réfrigérés"
030285,"Dorades de mer des espèces [Sparidae], fraîches ou réfrigérées"
030289,"Poissons, n.d.a., frais ou réfrigérés"
030291,"Foies, œufs et laitances de poissons, frais ou réfrigérés"
030292,"Ailerons de requins, frais ou réfrigérés"
030299,"Nageoires, têtes, queues, vessies natatoires et autres abats de poissons comestibles, frais ou réfrigérés (à l’exclusion des foies, œufs, laitances et ailerons de requins)"
0303,"Poissons, comestibles, congelés (à l'excl. des filets de poissons et autres chairs de poissons du n° 0304)"
030311,"Saumons rouges [Oncorhynchus nerka], congelés"
030312,"Saumons du Pacifique, congelés (à l'excl. des saumons rouges [Oncorhynchus nerka])"
030313,"Saumons de l'Atlantique [Salmo salar] et saumons du Danube [Hucho hucho], congelés"
030314,"Truites [Salmo trutta, Oncorynchus mykiss, Oncorynchus clarki, Oncorynchus aguabonita, Oncorynchus gilae, Oncorynchus apache et Oncorynchus chrysogaster], congelées"
030319,"Salmonidés, congelés (à l'excl. des saumons du Pacifique, de l'Atlantique et du Danube ainsi que des truites)"
030323,"Tilapias [Oreochromis spp.], congelés"
030324,"Siluridés [Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.], congelés"
030325,"Carpes «Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.», congelées"
030326,"Anguilles [Anguilla spp.], congelées"
030329,"Perches du Nil (Lates niloticus) et poissons tête de serpent (Channa spp.), congelés"
030331,"Flétans [Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis], congelés"
030332,"Plies ou carrelets [Pleuronectes platessa], congelés"
030333,"Soles [Solea spp.], congelées"
030334,"Turbots [Psetta maxima], congelés"
030339,"Poissons plats [Pleuronectidés, Bothidés, Cynoglossidés, Soléidés, Scophthalmidés et Citharidés], congelés (à l'excl. des flétans, plies ou carrelets, soles et turbots)"
030341,"Thons blancs ou germons [Thunnus alalunga], congelés"
030342,"Thons à nageoires jaunes [Thunnus albacares], congelés"
030343,"Listaos ou bonites à ventre rayé, congelés"
030344,"Thons obèses [Thunnus obesus], congelés"
030345,"Thons rouges de l'Atlantique et du Pacifique (Thunnus thynnus, Thunnus orientalis), congelés"
030346,"Thons rouges du sud [Thunnus maccoyii], congelés"
030349,"Thons du genre [Thunnus], congelés (à l'excl. des espèces [Thunnus alalunga, Thunnus albacares, Thunnus obesus, Thunnus thynnus, Thunnus orientalis et Thunnus maccoyii])"
030351,"Harengs [Clupea harengus, Clupea pallasii], congelés"
030353,"Sardines [Sardina pilchardus, Sardinops spp.], sardinelles [Sardinella spp.], sprats ou esprots [Sprattus sprattus], congelés"
030354,"Maquereaux [Scomber scombrus, Scomber australasicus, Scomber japonicus], congelés"
030355,"Chinchards [Trachurus spp.], congelés"
030356,"Mafous [Rachycentron canadum], congelés"
030357,"Espadons [Xiphias gladius], congelés"
030359,"Anchois «Engraulis spp.», maquereaux indo-pacifiques «Rastrelliger spp.», thazards «Scomberomorus spp.», carangues «Caranx spp.», castagnoles argentées «Pampus spp.», balaous du Pacifique «Cololabis saira», comètes «Decapterus spp.», capelans «Mallotus villosus», thonines orientales «Euthynnus affinis», bonites «Sarda spp.», makaires, marlins et voiliers «Istiophoridae», congelés"
030363,"Morues [Gadus morhua, Gadus ogac, Gadus macrocephalus], congelées"
030364,"Églefins [Melanogrammus aeglefinus], congelés"
030365,"Lieus noirs [Pollachius virens], congelés"
030366,"Merlus [Merluccius spp., Urophycis spp.], congelés"
030367,"Lieus d'Alaska [Theragra chalcogramma], congelés"
030368,"Merlans bleus [Micromesistius poutassou, Micromesistius australis], congelés"
030369,"Poissons des familles Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae et Muraenolepididae, congelés (à l'excl. des morues, églefins, lieus noirs, merlus, lieus d'Alaska et merlans bleus)"
030381,"Squales, congelés"
030382,"Raies [Rajidae], congelées"
030383,"Légines [Dissostichus spp.], congelées"
030384,"Bars [Dicentrarchus spp.], congelés"
030389,"Poissons, n.d.a., congelés"
030391,"Foies, œufs et laitances de poissons, congelés"
030392,"Ailerons de requins, congelés"
030399,"Nageoires, têtes, queues, vessies natatoires et autres abats de poissons comestibles, congelés (à l’exclusion des foies, œufs, laitances et ailerons de requins)"
0304,"Filets de poissons et autre chair de poissons - même hachée -, frais, réfrigérés ou congelés"
030431,"Filets de tilapias [Oreochromis spp.], frais ou réfrigérés"
030432,"Filets de siluridés [Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.], frais ou réfrigérés"
030433,"Filets de perches du Nil [Lates niloticus], frais ou réfrigérés"
030439,"Filets de carpes «Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.», d’anguilles «Anguilla spp.» et de poissons tête de serpent «Channa spp.», frais ou réfrigérés"
030441,"Filets de saumons du Pacifique [Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou et Oncorhynchus rhodurus], de saumons de l’Atlantique [Salmo salar] et de saumons du Danube [Hucho hucho], frais ou réfrigérés"
030442,"Filets de truites [Salmo trutta, Oncorynchus mykiss, Oncorynchus clarki, Oncorynchus aguabonita, Oncorynchus gilae, Oncorynchus apache et Oncorynchus chrysogaster], frais ou réfrigérés"
030443,"Filets de poissons plats [Pleuronectidés, Bothidés, Cynoglossidés, Soléidés, Scophthalmidés et citharidés], frais ou réfrigérés"
030444,"Filets de poissons des familles Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae et Muraenolepididae, frais ou réfrigérés"
030445,"Filets d’espadons [Xiphias gladius], frais ou réfrigérés"
030446,"Filets de légines [Dissostichus spp.], frais ou réfrigérés"
030447,"Filets de squales, frais ou réfrigérés"
030448,"Filets de raies «Rajidae», frais ou réfrigérés"
030449,"Filets de poissons, n.d.a., frais ou réfrigérés"
030451,"Chair, même hachée, de tilapias «Oreochromis spp.», de siluridés «Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.», de carpes «Cyprinus spp.,Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.», d’anguilles «Anguilla spp.», de perches du Nil «Lates niloticus» et de poissons tête de serpent «Channa spp.», fraîche ou réfrigérée (à l’exclusion des filets)"
030452,"Chair de salmonidés, même hachée, fraîche ou réfrigérée (à l'excl. des filets)"
030453,"Chair, même hachée, de poissons des familles Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae et Muraenolepididae, fraîche ou réfrigérée (à l'excl. des filets)"
030454,"Chair, même hachée, d’espadons [Xiphias gladius], fraîche ou réfrigérée (à l’excl. des filets)"
030455,"Chair, même hachée, de légines [Dissostichus spp.], fraîche ou réfrigérée (à l’excl. des filets)"
030456,"Chair, même hachée, de squales, fraîche ou réfrigérée (à l’exclusion des filets)"
030457,"Chair, même hachée, de raies «Rajidae», fraîche ou réfrigérée (à l’exclusion des filets)"
030459,"Chair, même hachée, de poissons, fraîche ou réfrigérée (à l’exclusion des filets et hors tilapias, siluridés, carpes, anguilles, perches du Nil, poissons tête de serpent, salmonidés, espadons, légines, raies, squales et poissons des familles Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae et Muraenolepididae)"
030461,"Filets de tilapias [Oreochromis spp.], congelés"
030462,"Filets de siluridés [Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.], congelés"
030463,"Filets de perches du Nil [Lates niloticus], congelés"
030469,"Filets de carpes «Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.», d’anguilles «Anguilla spp.» et de poissons tête de serpent «Channa spp.», congelés"
030471,"Filets de morues [Gadus morhua, Gadus ogac, Gadus macrocephalus], congelés"
030472,"Filets d’églefins [Melanogrammus aeglefinus], congelés"
030473,"Filets de lieus noirs [Pollachius virens], congelés"
030474,"Filets de merlus [Merluccius spp., Urophycis spp.], congelés"
030475,"Filets de lieus d’Alaska [Theragra chalcogramma], congelés"
030479,"Filets de poissons des familles Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae et Muraenolepididae, congelés (à l'excl. des morues, églefins, lieus noirs, merlus et lieus d'Alaska)"
030481,"Filets de saumons du Pacifique des espèces [Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou et Oncorhynchus rhodurus], de saumons de l’Atlantique [Salmo salar] et de saumons du Danube [Hucho hucho], congelés"
030482,"Filets de truites [Salmo trutta, Oncorynchus mykiss, Oncorynchus clarki, Oncorynchus aguabonita, Oncorynchus gilae, Oncorynchus apache et Oncorynchus chrysogaster], congelés"
030483,"Filets de poissons plats [Pleuronectidés, Bothidés, Cynoglossidés, Soléidés, Scophthalmidés et citharidés], congelés"
030484,"Filets d'espadons [Xiphias gladius], congelés"
030485,"Filets de légines [Dissostichus spp.], congelés"
030486,"Filets de harengs [Clupea harengus, Clupea pallasii], congelés"
030487,"Filets de thons (du genre [Thunnus]), listaos ou bonites à ventre rayé [Euthynnus [Katsuwonus] pelamis], congelés"
030488,"Filets de squales et de raies «Rajidae», congelés"
030489,"Filets de poissons, n.d.a., congelés"
030491,"Chair d'espadons [Xiphias gladius], même hachée, congelée (à l'excl. des filets)"
030492,"Chair de légines [Dissostichus spp.], même hachée, congelée (à l'excl. des filets)"
030493,"Chair, même hachée, de tilapias «Oreochromis spp.», de siluridés «Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.», de carpes «Cyprinus spp.,Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.», d’anguilles «Anguilla spp.», de perches du Nil «Lates niloticus» et de poissons tête de serpent «Channa spp.», congelée (à l’exclusion des filets)"
030494,"Chair de poissons, même hachée, de lieus d’Alaska [Theragra chalcogramma], congelée (à l'excl. des filets)"
